Customer ID,Nationality,SAS Nationality,Name,Family Name,EducationLevel,Gender,BirthDate,Marital Status,No Of Dependents,Mobile Contact,Home Contact,Email Address,Residential Type,Residential Address 1,Residential Address 2,PostalCode
1,SG,SG,JOHNNY,YONG,Diploma,M,10/6/1985,Single,0,99945573,64839576,Johnnyyong1@Gmail.Com,HDB2,90 Pipit Road,#10-141,370090
2,SG,SG,JANE,CHONG,University,F,9/10/1946,Single,0,99936895,64837495,Janechong2@Gmail.Com,HDB3,Blk 13 Haig Road,#10-529,430013
3,SG,SG,BRANDON,PAN,Secondary,M,4/4/1949,Widowed,0,99933757,64937492,Brandonpan3@Gmail.Com,HDB2,425 Pasir Ris Drive 6,#08-93,510425
4,SG,SG,JESSIE,CHIAM,Secondary,F,30/5/1944,Divorced,0,99917062,64927485,Jessiechiam4@Gmail.Com,HDB2,161A Punggol Central,#16-81,821161
5,SG,SG,KEESOON,LAN,Secondary,M,27/10/1968,Single,0,99885892,64923744,Keesoonlan5@Gmail.Com,HDB2,860 Yishun Ave 4,#09-145,760860
6,SG,SG,ALEXIS,CHUA,Below Secondary,M,19/5/1958,Single,0,99878334,64037484,Alexischua6@Gmail.Com,EC,Blk 12 Merpati Road,#12-122,370012
7,SG,SG,JIAMING,WONG,University,F,3/10/1986,Single,0,99870524,64375030,Jiamingwong7@Gmail.Com,HDB2,341 Hougang Avenue 7,#10-465,530341
8,SG,SG,NATASHA,LU,University,F,23/3/1950,Single,0,99868560,64375953,Natashalu8@Gmail.Com,HDB2,177 Ang Mo Kio Ave 4,#05-917,560177
9,SG,SG,AMOS,LOO,University,M,23/8/1968,Single,0,99866015,64302814,Amosloo9@Gmail.Com,HDB4,10E Bedok South Avenue 2,#14-744,464010
10,SG,SG,NELSON,TOH,Diploma,M,26/2/1966,Single,0,99859578,64384628,Nelsontoh10@Gmail.Com,HDB2,385 Tampines Street 32,#10-827,520385
11,SG,SG,HENRY,XU,Below Secondary,M,9/11/1974,Single,0,99856867,64947392,Henryxu11@Gmail.Com,HDB2,588C Montreal Drive,#11-100,753588
12,SG,SG,LAWRENCE,THIAM,Secondary,M,14/8/1984,Single,0,99852879,64947494,Lawrencethiam12@Gmail.Com,HDB2,606 Choa Chu Kang Street 62,#10-135,680606
13,SG,SG,DELSON,CHEW,University,M,24/10/1974,Married,0,99847732,64472928,Delsonchew13@Gmail.Com,HDB4,8 Hougang Street 92,#12-01,538686
14,SG,SG,QIWEN,WONG,University,F,7/3/1980,Single,0,99846830,64378394,Qiwenwong14@Gmail.Com,HDB3,289 Yishun Avenue 6,#05-22,760289
15,SG,SG,SHERLY,CHOO,Diploma,F,3/9/1955,Married,1,99846175,68345196,Sherlychoo15@Gmail.Com,HDB4,422 Choa Chu Kang Ave 4,#11-232,680422
16,SG,SG,HUILING,KOH,University,F,20/8/1949,Divorced,0,99842479,64510048,Huilingkoh16@Gmail.Com,HDB2,503B Canberra Link,#13-981,752503
17,SG,SG,ETHAN,LOCK,University,M,4/7/1984,Single,0,99842108,62830472,Ethanlock17@Gmail.Com,HDB2,607 Yishun Street 61,#12-289,760607
18,SG,SG,PEITING,CHOO,Secondary,F,22/12/1969,Married,3,99841510,64926499,Peitingchoo18@Gmail.Com,DH,41 Phillips Avenue,#01-00,546974
19,SG,SG,JACOB,LAM,Below Secondary,M,27/12/1980,Married,1,99840863,68654892,Jacoblam19@Gmail.Com,HDB4,358 Bukit Batok Street 31,#07-383,650358
20,SG,SG,SHUTING,CHEONG,Diploma,F,23/1/1967,Married,0,99840430,64271739,Shutingcheong20@Gmail.Com,HDB4,527 Woodlands Drive 14,#01-511,730527
21,SG,SG,MICHAEL,CHONG,Below Secondary,M,24/11/1959,Single,0,99834848,64271639,Michaelchong21@Gmail.Com,HDB2,486 Admiralty Link,#09-151,750486
22,SG,SG,DOREEN,PONG,Diploma,F,13/12/1962,Married,1,99833860,69028294,Doreenpong22@Gmail.Com,HDB2,247 Bukit Batok East Avenue 5,#02-88,650247
23,SG,SG,KEVIN,TAN,Post Secondary,M,21/5/1945,Married,1,99830390,64163432,Kevintan23@Gmail.Com,HDB2,512 Hougang Avenue 10,#12-73,530512
24,SG,SG,JOHN,BAI,University,M,2/12/1971,Married,1,99829000,68184513,Johnbai24@Gmail.Com,HDB2,119B Kim Tian Road,#13-236,162119
25,SG,SG,JADEN,CHEONG,University,M,6/5/1980,Married,1,99829005,64282639,Jadencheong25@Gmail.Com,HDB4,157 Yishun St 11,#04-140,760157
26,SG,SG,JOSHUA,CHIAM,University,M,16/8/1967,Single,0,99828000,64237273,Joshuachiam26@Gmail.Com,HDB4,357 Admiralty Drive,#14-170,750357
27,SG,SG,JUSTIN,LOCK,Diploma,M,2/7/1954,Married,3,99827066,64665146,Justinlock27@Gmail.Com,HDB4,641 Hougang Avenue 8,#17-169,530641
28,SG,SG,MEVIN,CHEN,Secondary,M,25/11/1971,Married,3,99827030,66369294,Mevinchen28@Gmail.Com,HDB2,521 Hougang Avenue 6,#05-53,530521
29,SG,SG,RON,XU,University,M,23/4/1965,Married,2,99826460,62588851,Ronxu29@Gmail.Com,HDB4,116 Pending Road,#03-212,670116
30,SG,SG,GEORGE,QUACK,University,M,16/3/1979,Single,0,99826100,64273945,Georgequack30@Gmail.Com,HDB2,305 #12-57 Canberra Road,#12-57,750305
31,SG,SG,DANIEL,LAI,Secondary,M,23/11/1964,Single,0,99825462,69372947,Daniellai31@Gmail.Com,HDB2,613 Bukit Panjang Ring Road,#16-860,670613
32,SG,SG,BRENDEN,HUANG,University,M,6/1/1964,Married,0,99825336,62691613,BrendenHuang@Gmail.Com,HDB2,231 Compassvale Walk,#03-436,540231
33,SG,SG,ANTHONY,CHONG,Diploma,M,9/8/1934,Widowed,1,99825238,64237393,Anthonychong33@Gmail.Com,HDB4,894C Woodlands Drive 50,#11-01,732894
34,SG,SG,ANGELA,QUEY,University,F,1/11/1954,Married,0,99822736,64882694,Angelaquey34@Gmail.Com,HDB2,432 Ang Mo Kio Avenue 10,#05-1457,560432
35,SG,SG,ANGELINA,BAI,Below Secondary,F,7/6/1986,Married,1,99822266,64372834,Angelinabai35@Gmail.Com,HDB4,174C Edgedale Plains,#09-177,823174
36,SG,SG,MIN CHUAN,XU,Post Secondary,M,15/10/1973,Married,1,99820346,69173745,MinChuanxu36@Gmail.Com,HDB2,736 Pasir Ris Drive 10,#04-51,510736
37,SG,SG,JOANNA,YONG,University,F,24/10/1965,Married,0,99814466,65866516,Joannayong37@Gmail.Com,HDB4,324 Tah Ching Road,#04-429,610324
38,SG,SG,ANNA,YONG,Diploma,F,13/3/1974,Married,1,99810994,66741561,Annayong38@Gmail.Com,HDB4,609 Bukit Panjang Ring Road,#02-896,670609
39,SG,SG,DAVID,LEUNG,University,M,24/11/1980,Married,0,99805403,62588831,Davidleung39@Gmail.Com,HDB2,32 Kingsmead Road,#04-625,267983
40,SG,SG,ASHER,HOH,University,M,1/12/1972,Married,3,99800902,64273945,Asherhoh40@Gmail.Com,HDB4,2B Geylang Serai,#14-569,406002
41,SG,SG,AUDREY,KANG,Diploma,F,24/9/1969,Married,0,99799691,64215273,Audreykang41@Gmail.Com,HDB2,432 Choa Chu Kang Avenue 4,#05-569,680432
42,SG,SG,JUN WEI,WEE,University,M,18/7/1974,Single,0,99796222,64373827,JunWeiwee42@Gmail.Com,HDB4,724 Yishun Street 71,#06-175,760724
43,SG,SG,BRINTNEY,LIU,Secondary,F,2/9/1935,Married,5,99789191,64273639,Brintneyliu43@Gmail.Com,HDB2,696 Hougang Street 61,#09-64,530696
44,SG,SG,ESTHER,CHU,Secondary,F,19/10/1970,Married,2,99786668,66892229,Estherchu44@Gmail.Com,AP,1 Pearl Bank,#06-03 Pea,169016
45,SG,SG,SKY,TEO,Below Secondary,M,27/3/1959,Married,4,99785616,65659271,Skyteo45@Gmail.Com,HDB2,574 Hougang Street 51,#12-13,530574
46,SG,SG,WEI JUN,TUNG,Below Secondary,M,17/11/1969,Single,0,99785253,68937392,WeiJuntung46@Gmail.Com,HDB2,596B Ang Mo Kio Street 52,#24-331,562596
47,SG,SG,CAIN,ONG,University,M,1/5/1984,Married,0,99783803,61498956,Cainong47@Gmail.Com,HDB2,137 Yishun Ring Road,#08-150,760137
48,SG,SG,CHARLES,ZHANG,Below Secondary,M,23/11/1983,Married,1,99783022,65295487,Charleszhang48@Gmail.Com,EC,22 Simei Street 1,#02-01 Mel,529945
49,SG,SG,JENNIFER,TAN,Secondary,F,19/12/1959,Married,4,99776215,64937389,Jennifertan49@Gmail.Com,HDB4,656 Hougang Avenue 8,#03-417,530656
50,SG,SG,CHARLOTTE,YAP,Below Secondary,F,2/5/1941,Married,1,99773352,64934734,Charlotteyap50@Gmail.Com,HDB2,670 Choa Chu Kang Crescent,#08-511,680670
51,SG,SG,EN LI,SEAH,University,F,17/11/1988,Married,0,99770083,66365816,EnLiseah51@Gmail.Com,PC,35 Kovan Road,#14-778 Ko,545019
52,SG,SG,CLARISSA,NAH,Below Secondary,F,9/4/1980,Married,0,99765224,64596912,Clarissanah52@Gmail.Com,HDB4,468A Admiralty Drive,#06-127,751468
53,SG,SG,DAISY,HUIN,Diploma,F,11/6/1986,Single,0,99763334,64237389,Daisyhuin53@Gmail.Com,HDB4,155 Bishan Street 13,#12-84,570155
54,SG,SG,JEREMY,LU,Post Secondary,M,21/2/1964,Single,0,99752624,64272434,Jeremylu54@Gmail.Com,HDB2,241 Jurong East Street 24,#03-681,600241
55,SG,SG,TAT YI,GOH,Below Secondary,M,6/9/1965,Married,1,99742566,62227874,TatYigoh55@Gmail.Com,HDB3,183 Bishan Street 13,#16-297,570183
